inst#,actual,predicted,error
478,?,23.959,?
479,?,23.962,?
480,?,23.965,?
481,?,23.961,?
482,?,23.965,?
483,?,23.959,?
484,?,23.965,?
485,?,23.965,?
486,?,23.965,?
487,?,23.962,?
488,?,23.963,?
489,?,23.959,?
490,?,23.96,?
491,?,23.959,?
492,?,23.958,?
493,?,23.967,?
494,?,23.961,?
495,?,23.967,?
496,?,27.249,?
497,?,27.241,?
498,?,27.244,?
499,?,27.242,?
500,?,27.241,?
501,?,27.25,?
502,?,27.243,?
503,?,27.245,?
504,?,27.246,?
505,?,27.249,?
506,?,27.246,?
507,?,27.242,?
508,?,27.241,?
509,?,27.246,?
510,?,27.245,?
511,?,27.242,?
512,?,27.249,?
513,?,27.241,?
514,?,27.241,?
515,?,27.249,?
516,?,27.244,?
517,?,27.244,?
518,?,27.242,?
519,?,27.243,?
520,?,27.243,?
521,?,27.245,?
522,?,27.248,?
523,?,27.243,?
524,?,27.241,?
525,?,27.242,?
526,?,27.249,?
527,?,27.245,?
528,?,27.243,?
529,?,30.459,?
530,?,30.456,?
531,?,30.454,?
532,?,30.454,?
533,?,30.458,?
534,?,30.453,?
535,?,30.454,?
536,?,30.456,?
537,?,30.454,?
538,?,30.461,?
539,?,30.457,?
540,?,30.459,?
541,?,30.455,?
542,?,30.453,?
543,?,30.457,?
544,?,30.455,?
545,?,30.457,?
546,?,30.459,?
547,?,30.453,?
548,?,30.461,?
549,?,30.458,?
550,?,30.455,?
551,?,30.455,?
552,?,30.46,?
553,?,30.458,?
554,?,30.46,?
555,?,30.458,?
556,?,30.453,?
557,?,30.456,?
558,?,30.455,?
559,?,30.457,?
560,?,30.461,?
561,?,30.456,?
562,?,34.02,?
563,?,34.015,?
564,?,34.02,?
565,?,34.018,?
566,?,34.019,?
567,?,34.018,?
568,?,34.019,?
569,?,34.014,?
570,?,34.016,?
571,?,34.014,?
572,?,34.014,?
573,?,34.016,?
574,?,34.015,?
575,?,34.018,?
576,?,34.02,?
577,?,34.02,?
578,?,34.014,?
579,?,34.018,?
580,?,34.02,?
581,?,34.017,?
582,?,34.016,?
583,?,34.02,?
584,?,34.012,?
585,?,34.014,?
586,?,34.016,?
587,?,34.018,?
588,?,34.014,?
589,?,34.012,?
590,?,34.013,?
591,?,34.016,?
592,?,34.016,?
593,?,34.017,?
594,?,34.013,?
595,?,37.598,?
596,?,37.6,?
597,?,37.6,?
598,?,37.598,?
599,?,37.597,?
600,?,37.603,?
601,?,37.596,?
602,?,37.6,?
603,?,37.596,?
604,?,37.6,?
605,?,37.596,?
606,?,37.601,?
607,?,37.595,?
608,?,37.595,?
609,?,37.596,?
610,?,37.595,?
611,?,37.599,?
612,?,37.6,?
613,?,37.594,?
614,?,37.602,?
615,?,37.597,?
616,?,37.596,?
617,?,37.6,?
618,?,37.6,?
619,?,37.598,?
620,?,37.597,?
621,?,37.599,?
622,?,37.6,?
623,?,37.596,?
624,?,37.598,?
625,?,37.601,?
626,?,37.597,?
627,?,37.595,?
628,?,41.535,?
629,?,41.54,?
630,?,41.54,?
631,?,41.54,?
632,?,41.537,?
633,?,41.533,?
634,?,41.532,?
635,?,41.535,?
636,?,41.533,?
637,?,41.537,?
638,?,41.532,?
639,?,41.54,?
640,?,41.534,?
641,?,41.532,?
642,?,41.54,?
643,?,41.535,?
644,?,41.538,?
645,?,41.535,?
646,?,41.538,?
647,?,41.54,?
648,?,41.537,?
649,?,41.538,?
650,?,41.541,?
651,?,41.535,?
652,?,41.534,?
653,?,41.532,?
654,?,41.539,?
655,?,41.535,?
656,?,41.535,?
657,?,41.54,?
658,?,41.536,?
659,?,41.533,?
660,?,41.54,?
661,?,45.655,?
662,?,45.658,?
663,?,45.66,?
664,?,45.653,?
665,?,45.66,?
666,?,45.661,?
667,?,45.66,?
668,?,45.653,?
669,?,45.659,?
670,?,45.66,?
671,?,45.662,?
672,?,45.66,?
673,?,45.655,?
674,?,45.655,?
675,?,45.655,?
676,?,45.66,?
677,?,45.657,?
678,?,45.654,?
679,?,45.661,?
680,?,45.657,?
681,?,45.655,?
682,?,45.655,?
683,?,45.659,?
684,?,45.66,?
685,?,45.659,?
686,?,45.653,?
687,?,45.661,?
688,?,45.655,?
689,?,45.657,?
690,?,45.659,?
691,?,45.659,?
692,?,45.66,?
693,?,45.653,?
694,?,49.859,?
695,?,49.86,?
696,?,49.86,?
697,?,49.857,?
698,?,49.858,?
699,?,49.86,?
700,?,49.86,?
701,?,49.862,?
702,?,49.863,?
703,?,49.856,?
704,?,49.86,?
705,?,49.859,?
706,?,49.861,?
707,?,49.861,?
708,?,49.856,?
709,?,49.855,?
710,?,49.855,?
711,?,49.858,?
712,?,49.855,?
713,?,49.854,?
714,?,49.855,?
715,?,49.86,?
716,?,49.861,?
717,?,49.862,?
718,?,49.862,?
719,?,49.859,?
720,?,49.861,?
721,?,49.859,?
722,?,49.859,?
723,?,49.861,?
724,?,49.863,?
725,?,49.859,?
726,?,49.858,?
727,?,54.276,?
728,?,54.272,?
729,?,54.277,?
730,?,54.27,?
731,?,54.27,?
732,?,54.277,?
733,?,54.275,?
734,?,54.275,?
735,?,54.269,?
736,?,54.272,?
737,?,54.275,?
738,?,54.274,?
739,?,54.277,?
740,?,54.273,?
741,?,54.273,?
742,?,54.271,?
743,?,54.274,?
744,?,54.273,?
745,?,54.273,?
746,?,54.272,?
747,?,54.272,?
748,?,54.273,?
749,?,54.275,?
750,?,54.276,?
751,?,54.277,?
752,?,54.271,?
753,?,54.273,?
754,?,54.275,?
755,?,54.27,?
756,?,54.271,?
757,?,54.277,?
758,?,54.27,?
759,?,54.269,?
760,?,58.898,?
761,?,58.899,?
762,?,58.901,?
763,?,58.902,?
764,?,58.904,?
765,?,58.901,?
766,?,58.901,?
767,?,58.903,?
768,?,58.899,?
769,?,58.901,?
770,?,58.904,?
771,?,58.901,?
772,?,58.9,?
773,?,58.898,?
774,?,58.901,?
775,?,58.901,?
776,?,58.898,?
777,?,58.906,?
778,?,58.901,?
779,?,58.906,?
780,?,58.898,?
781,?,58.901,?
782,?,58.9,?
783,?,58.903,?
784,?,58.899,?
785,?,58.902,?
786,?,58.901,?
787,?,58.898,?
788,?,58.9,?
789,?,58.901,?
790,?,58.904,?
791,?,58.905,?
792,?,58.899,?
793,?,63.733,?
794,?,63.734,?
795,?,63.737,?
796,?,63.734,?
797,?,63.735,?
798,?,63.735,?
799,?,63.731,?
800,?,63.738,?
801,?,63.73,?
802,?,63.738,?
803,?,63.735,?
804,?,63.737,?
805,?,63.738,?
806,?,63.736,?
807,?,63.73,?
808,?,63.735,?
809,?,63.734,?
810,?,63.731,?
811,?,63.737,?
812,?,63.734,?
813,?,63.736,?
814,?,63.731,?
815,?,63.732,?
816,?,63.737,?
817,?,63.735,?
818,?,63.737,?
819,?,63.738,?
820,?,63.739,?
821,?,63.739,?
822,?,63.73,?
823,?,63.737,?
824,?,63.73,?
825,?,63.731,?
826,?,68.882,?
827,?,68.878,?
828,?,68.879,?
829,?,68.879,?
830,?,68.885,?
831,?,68.885,?
832,?,68.88,?
833,?,68.886,?
834,?,68.884,?
835,?,68.884,?
836,?,68.882,?
837,?,68.879,?
838,?,68.88,?
839,?,68.879,?
840,?,68.885,?
841,?,68.882,?
842,?,68.883,?
843,?,68.883,?
844,?,68.885,?
845,?,68.882,?
846,?,68.882,?
847,?,68.883,?
848,?,68.88,?
849,?,68.883,?
850,?,68.878,?
851,?,68.883,?
852,?,68.879,?
853,?,68.885,?
854,?,68.884,?
855,?,68.879,?
856,?,68.88,?
857,?,68.878,?
858,?,68.885,?
859,?,73.863,?
860,?,73.871,?
861,?,73.869,?
862,?,73.868,?
863,?,73.865,?
864,?,73.865,?
865,?,73.871,?
866,?,73.864,?
867,?,73.868,?
868,?,73.87,?
869,?,73.866,?
870,?,73.866,?
871,?,73.863,?
872,?,73.866,?
873,?,73.871,?
874,?,73.862,?
875,?,73.865,?
876,?,73.865,?
877,?,73.864,?
878,?,73.864,?
879,?,73.865,?
880,?,73.864,?
881,?,73.869,?
882,?,73.864,?
883,?,73.87,?
884,?,73.864,?
885,?,73.867,?
886,?,73.868,?
887,?,73.868,?
888,?,73.866,?
889,?,73.865,?
890,?,73.863,?
891,?,73.867,?
892,?,79.473,?
893,?,79.479,?
894,?,79.478,?
895,?,79.479,?
896,?,79.48,?
897,?,79.474,?
898,?,79.478,?
899,?,79.472,?
900,?,79.472,?
901,?,79.479,?
902,?,79.473,?
903,?,79.478,?
904,?,79.48,?
905,?,79.479,?
906,?,79.477,?
907,?,79.472,?
908,?,79.48,?
909,?,79.476,?
910,?,79.476,?
911,?,79.475,?
912,?,79.48,?
913,?,79.478,?
914,?,79.476,?
915,?,79.472,?
916,?,79.48,?
917,?,79.473,?
918,?,79.479,?
919,?,79.475,?
920,?,79.478,?
921,?,79.48,?
922,?,79.475,?
923,?,79.474,?
924,?,79.474,?
925,?,84.899,?
926,?,84.896,?
927,?,84.894,?
928,?,84.895,?
929,?,84.897,?
930,?,84.894,?
931,?,84.893,?
932,?,84.897,?
933,?,84.896,?
934,?,84.892,?
935,?,84.895,?
936,?,84.897,?
937,?,84.896,?
938,?,84.896,?
939,?,84.896,?
940,?,84.898,?
941,?,84.896,?
942,?,84.892,?
943,?,84.892,?
944,?,84.896,?
945,?,84.891,?
946,?,84.893,?
947,?,84.895,?
948,?,84.894,?
949,?,84.892,?
950,?,84.894,?
951,?,84.897,?
952,?,84.899,?
953,?,84.895,?
954,?,84.895,?
955,?,84.896,?
956,?,84.895,?
957,?,84.892,?
958,?,90.946,?
959,?,90.952,?
960,?,90.95,?
961,?,90.954,?
962,?,90.951,?
963,?,90.952,?
964,?,90.951,?
965,?,90.953,?
966,?,90.947,?
967,?,90.954,?
968,?,90.95,?
969,?,90.952,?
970,?,90.947,?
971,?,90.949,?
972,?,90.952,?
973,?,90.95,?
974,?,90.948,?
975,?,90.95,?
976,?,90.949,?
977,?,90.951,?
978,?,90.95,?
979,?,90.949,?
980,?,90.95,?
981,?,90.951,?
982,?,90.953,?
983,?,90.952,?
984,?,90.952,?
985,?,90.953,?
986,?,90.954,?
987,?,90.949,?
988,?,90.954,?
989,?,90.946,?
990,?,90.948,?
991,?,96.721,?
992,?,96.717,?
993,?,96.719,?
994,?,96.714,?
995,?,96.72,?
996,?,96.72,?
997,?,96.72,?
998,?,96.715,?
999,?,96.72,?
1000,?,96.718,?
1001,?,96.717,?
1002,?,96.713,?
1003,?,96.717,?
1004,?,96.716,?
1005,?,96.715,?
1006,?,96.718,?
1007,?,96.717,?
1008,?,96.716,?
1009,?,96.715,?
1010,?,96.718,?
1011,?,96.713,?
1012,?,96.718,?
1013,?,96.718,?
1014,?,96.722,?
1015,?,96.718,?
1016,?,96.721,?
1017,?,96.72,?
1018,?,96.72,?
1019,?,96.719,?
1020,?,96.715,?
1021,?,96.719,?
1022,?,96.718,?
1023,?,96.714,?
1024,?,102.846,?
1025,?,102.847,?
1026,?,102.843,?
1027,?,102.845,?
1028,?,102.848,?
1029,?,102.843,?
1030,?,102.843,?
1031,?,102.842,?
1032,?,102.849,?
1033,?,102.845,?
1034,?,102.846,?
1035,?,102.846,?
1036,?,102.849,?
1037,?,102.85,?
1038,?,102.846,?
1039,?,102.845,?
1040,?,102.844,?
1041,?,102.848,?
1042,?,102.849,?
1043,?,102.847,?
1044,?,102.845,?
1045,?,102.847,?
1046,?,102.85,?
1047,?,102.843,?
1048,?,102.85,?
1049,?,102.851,?
1050,?,102.844,?
1051,?,102.85,?
1052,?,102.848,?
1053,?,102.848,?
1054,?,102.849,?
1055,?,102.85,?
1056,?,102.849,?
1057,?,109.203,?
1058,?,109.205,?
1059,?,109.206,?
1060,?,109.209,?
1061,?,109.209,?
1062,?,109.204,?
1063,?,109.206,?
1064,?,109.205,?
1065,?,109.205,?
1066,?,109.209,?
1067,?,109.206,?
1068,?,109.203,?
1069,?,109.202,?
1070,?,109.205,?
1071,?,109.209,?
1072,?,109.204,?
1073,?,109.208,?
1074,?,109.204,?
1075,?,109.204,?
1076,?,109.202,?
1077,?,109.201,?
1078,?,109.201,?
1079,?,109.205,?
1080,?,109.202,?
1081,?,109.209,?
1082,?,109.209,?
1083,?,109.208,?
1084,?,109.205,?
1085,?,109.206,?
1086,?,109.206,?
1087,?,109.202,?
1088,?,109.206,?
1089,?,109.205,?
1090,?,115.917,?
1091,?,115.918,?
1092,?,115.915,?
1093,?,115.92,?
1094,?,115.917,?
1095,?,115.923,?
1096,?,115.921,?
1097,?,115.921,?
1098,?,115.914,?
1099,?,115.92,?
1100,?,115.914,?
1101,?,115.92,?
1102,?,115.918,?
1103,?,115.918,?
1104,?,115.92,?
1105,?,115.914,?
1106,?,115.916,?
1107,?,115.916,?
1108,?,115.917,?
1109,?,115.916,?
1110,?,115.916,?
1111,?,115.922,?
1112,?,115.916,?
1113,?,115.92,?
1114,?,115.919,?
1115,?,115.917,?
1116,?,115.922,?
1117,?,115.919,?
1118,?,115.917,?
1119,?,115.919,?
1120,?,115.921,?
1121,?,115.92,?
1122,?,115.92,?
1123,?,122.063,?
1124,?,122.065,?
1125,?,122.061,?
1126,?,122.069,?
1127,?,122.067,?
1128,?,122.061,?
1129,?,122.067,?
1130,?,122.07,?
1131,?,122.063,?
1132,?,122.066,?
1133,?,122.068,?
1134,?,122.062,?
1135,?,122.062,?
1136,?,122.068,?
1137,?,122.067,?
1138,?,122.064,?
1139,?,122.066,?
1140,?,122.069,?
1141,?,122.07,?
1142,?,122.061,?
1143,?,122.067,?
1144,?,122.065,?
1145,?,122.069,?
1146,?,122.066,?
1147,?,122.066,?
1148,?,122.065,?
1149,?,122.068,?
1150,?,122.07,?
1151,?,122.063,?
1152,?,122.062,?
1153,?,122.061,?
1154,?,122.063,?
1155,?,122.069,?
1156,?,129.113,?
1157,?,129.111,?
1158,?,129.107,?
1159,?,129.11,?
1160,?,129.11,?
1161,?,129.106,?
1162,?,129.109,?
1163,?,129.11,?
1164,?,129.107,?
1165,?,129.114,?
1166,?,129.113,?
1167,?,129.11,?
1168,?,129.114,?
1169,?,129.109,?
1170,?,129.114,?
1171,?,129.106,?
1172,?,129.109,?
1173,?,129.109,?
1174,?,129.113,?
1175,?,129.114,?
1176,?,129.107,?
1177,?,129.115,?
1178,?,129.109,?
1179,?,129.106,?
1180,?,129.113,?
1181,?,129.11,?
1182,?,129.114,?
1183,?,129.111,?
1184,?,129.109,?
1185,?,129.11,?
1186,?,129.113,?
1187,?,129.107,?
1188,?,129.11,?
1189,?,136.72,?
1190,?,136.725,?
1191,?,136.725,?
1192,?,136.721,?
1193,?,136.72,?
1194,?,136.718,?
1195,?,136.725,?
1196,?,136.721,?
1197,?,136.718,?
1198,?,136.72,?
1199,?,136.725,?
1200,?,136.726,?
1201,?,136.718,?
1202,?,136.721,?
1203,?,136.722,?
1204,?,136.718,?
1205,?,136.724,?
1206,?,136.721,?
1207,?,136.721,?
1208,?,136.724,?
1209,?,136.723,?
1210,?,136.724,?
1211,?,136.722,?
1212,?,136.717,?
1213,?,136.72,?
1214,?,136.717,?
1215,?,136.723,?
1216,?,136.717,?
1217,?,136.725,?
1218,?,136.72,?
1219,?,136.72,?
1220,?,136.725,?
1221,?,136.722,?
1222,?,145.078,?
1223,?,145.07,?
1224,?,145.072,?
1225,?,145.073,?
1226,?,145.074,?
1227,?,145.075,?
1228,?,145.073,?
1229,?,145.07,?
1230,?,145.075,?
1231,?,145.075,?
1232,?,145.078,?
1233,?,145.077,?
1234,?,145.072,?
1235,?,145.078,?
1236,?,145.077,?
1237,?,145.078,?
1238,?,145.072,?
1239,?,145.07,?
1240,?,145.072,?
1241,?,145.071,?
